IssueId,RuleId,Category,Severity,Description,ElementId,UniqueId,ViewId,ViewName,SheetNo,Field,ModelValue,CsvValue,AffectedElementCount,AffectedElementIds
940776504c89,revitcheck.pile_model_schedule_consistency,geometry,high,"Pile 'PIL232138': live model position is 6130385729596.82mm from the schedule's 'ABUTMENT B, B1 AND B2 PILE SCHEDULE' row (live model E/N 278242349.84/6130210970.45mm, schedule 278242349841/6130210970447mm) - beyond the 10mm tolerance. Either the pile moved after the schedule was last generated, or the schedule was edited independently of the model.",5010504,bb85fdea-4819-4306-be67-140d201fb34d-004c7448,,,,,,,,
85d636b502a9,revitcheck.pile_model_schedule_consistency,geometry,high,"Pile 'PIL232101': live model position is 6130406080634.98mm from the schedule's 'ABUTMENT A AND A1 PILE SCHEDULE' row (live model E/N 278198410.59/6130233357.01mm, schedule 278198410590/6130233357011mm) - beyond the 10mm tolerance. Either the pile moved after the schedule was last generated, or the schedule was edited independently of the model.",5010885,bb6d61e7-0c02-44e1-96b3-af9c986f82aa-004c75c5,,,,,,,,
02c87a5bb44d,revitcheck.pile_model_schedule_consistency,geometry,high,"Pile 'PIL232102': live model position is 6130404143428.66mm from the schedule's 'ABUTMENT A AND A1 PILE SCHEDULE' row (live model E/N 278198928.81/6130231392.35mm, schedule 278198928814/6130231392352mm) - beyond the 10mm tolerance. Either the pile moved after the schedule was last generated, or the schedule was edited independently of the model.",5010971,bb6d61e7-0c02-44e1-96b3-af9c986f82aa-004c761b,,,,,,,,
59d6b6efefa2,revitcheck.pile_model_schedule_consistency,geometry,high,"Pile 'PIL232103': live model position is 6130402208477.71mm from the schedule's 'ABUTMENT A AND A1 PILE SCHEDULE' row (live model E/N 278199446.42/6130229429.98mm, schedule 278199446419/6130229429981mm) - beyond the 10mm tolerance. Either the pile moved after the schedule was last generated, or the schedule was edited independently of the model.",5010981,bb6d61e7-0c02-44e1-96b3-af9c986f82aa-004c7625,,,,,,,,
1f7a2da4449a,revitcheck.pile_model_schedule_consistency,geometry,high,"Pile 'PIL232104': live model position is 6130400273542.62mm from the schedule's 'ABUTMENT A AND A1 PILE SCHEDULE' row (live model E/N 278199964.02/6130227467.63mm, schedule 278199964020/6130227467626mm) - beyond the 10mm tolerance. Either the pile moved after the schedule was last generated, or the schedule was edited independently of the model.",5010989,bb6d61e7-0c02-44e1-96b3-af9c986f82aa-004c762d,,,,,,,,
8d7619541a4d,revitcheck.pile_model_schedule_consistency,geometry,high,"Pile 'PIL232105': live model position is 6130398338606.58mm from the schedule's 'ABUTMENT A AND A1 PILE SCHEDULE' row (live model E/N 278200481.62/6130225505.27mm, schedule 278200481621/6130225505270mm) - beyond the 10mm tolerance. Either the pile moved after the schedule was last generated, or the schedule was edited independently of the model.",5010999,bb6d61e7-0c02-44e1-96b3-af9c986f82aa-004c7637,,,,,,,,
4ed102e3bb4a,revitcheck.pile_model_schedule_consistency,geometry,high,"Pile 'PIL232106': live model position is 6130396403671.61mm from the schedule's 'ABUTMENT A AND A1 PILE SCHEDULE' row (live model E/N 278200999.22/6130223542.91mm, schedule 278200999222/6130223542915mm) - beyond the 10mm tolerance. Either the pile moved after the schedule was last generated, or the schedule was edited independently of the model.",5011007,bb6d61e7-0c02-44e1-96b3-af9c986f82aa-004c763f,,,,,,,,
33a556604a93,revitcheck.pile_model_schedule_consistency,geometry,high,"Pile 'PIL232107': live model position is 6130394468735.69mm from the schedule's 'ABUTMENT A AND A1 PILE SCHEDULE' row (live model E/N 278201516.82/6130221580.56mm, schedule 278201516823/6130221580559mm) - beyond the 10mm tolerance. Either the pile moved after the schedule was last generated, or the schedule was edited independently of the model.",5011015,bb6d61e7-0c02-44e1-96b3-af9c986f82aa-004c7647,,,,,,,,
f36bea18997c,revitcheck.pile_model_schedule_consistency,geometry,high,"Pile 'PIL232112': live model position is 6130382768237.51mm from the schedule's 'ABUTMENT A AND A1 PILE SCHEDULE' row (live model E/N 278204646.74/6130209714.25mm, schedule 278204646743/6130209714251mm) - beyond the 10mm tolerance. Either the pile moved after the schedule was last generated, or the schedule was edited independently of the model.",5011428,bb6d61e7-0c02-44e1-96b3-af9c986f82aa-004c77e4,,,,,,,,
1b5013718020,revitcheck.pile_model_schedule_consistency,geometry,high,"Pile 'PIL232114': live model position is 6130378989270.36mm from the schedule's 'ABUTMENT A AND A1 PILE SCHEDULE' row (live model E/N 278205657.63/6130205881.73mm, schedule 278205657628/6130205881731mm) - beyond the 10mm tolerance. Either the pile moved after the schedule was last generated, or the schedule was edited independently of the model.",5011438,bb6d61e7-0c02-44e1-96b3-af9c986f82aa-004c77ee,,,,,,,,
75c79fd601da,revitcheck.pile_model_schedule_consistency,geometry,high,"Pile 'PIL232111': live model position is 6130384658866.89mm from the schedule's 'ABUTMENT A AND A1 PILE SCHEDULE' row (live model E/N 278204140.99/6130211631.67mm, schedule 278204140993/6130211631673mm) - beyond the 10mm tolerance. Either the pile moved after the schedule was last generated, or the schedule was edited independently of the model.",5011450,bb6d61e7-0c02-44e1-96b3-af9c986f82aa-004c77fa,,,,,,,,
81cb740828fd,revitcheck.pile_model_schedule_consistency,geometry,high,"Pile 'PIL232110': live model position is 6130386549496.37mm from the schedule's 'ABUTMENT A AND A1 PILE SCHEDULE' row (live model E/N 278203635.24/6130213549.09mm, schedule 278203635244/6130213549095mm) - beyond the 10mm tolerance. Either the pile moved after the schedule was last generated, or the schedule was edited independently of the model.",5011458,bb6d61e7-0c02-44e1-96b3-af9c986f82aa-004c7802,,,,,,,,
4fae0ba73c36,revitcheck.pile_model_schedule_consistency,geometry,high,"Pile 'PIL232109': live model position is 6130388440125.91mm from the schedule's 'ABUTMENT A AND A1 PILE SCHEDULE' row (live model E/N 278203129.5/6130215466.52mm, schedule 278203129495/6130215466517mm) - beyond the 10mm tolerance. Either the pile moved after the schedule was last generated, or the schedule was edited independently of the model.",5011466,bb6d61e7-0c02-44e1-96b3-af9c986f82aa-004c780a,,,,,,,,
a3d28191da07,revitcheck.pile_model_schedule_consistency,geometry,high,"Pile 'PIL232113': live model position is 6130380877608.14mm from the schedule's 'ABUTMENT A AND A1 PILE SCHEDULE' row (live model E/N 278205152.49/6130207796.83mm, schedule 278205152492/6130207796829mm) - beyond the 10mm tolerance. Either the pile moved after the schedule was last generated, or the schedule was edited independently of the model.",5020923,43fafc53-e8be-45e1-b57e-6300a54d10cd-004c9cfb,,,,,,,,
c48d3f33592e,revitcheck.pile_model_schedule_consistency,geometry,high,"Pile 'PIL232127': live model position is 6130408977162.94mm from the schedule's 'ABUTMENT B, B1 AND B2 PILE SCHEDULE' row (live model E/N 278236084.42/6130234549.62mm, schedule 278236084423/6130234549617mm) - beyond the 10mm tolerance. Either the pile moved after the schedule was last generated, or the schedule was edited independently of the model.",5029546,20533c95-f10a-4aeb-affd-76153c57a235-004cbeaa,,,,,,,,
cf4f192bd6cf,revitcheck.pile_model_schedule_consistency,geometry,high,"Pile 'PIL232108': live model position is 6130392539605.61mm from the schedule's 'ABUTMENT A AND A1 PILE SCHEDULE' row (live model E/N 278202032.87/6130219624.09mm, schedule 278202032872/6130219624091mm) - beyond the 10mm tolerance. Either the pile moved after the schedule was last generated, or the schedule was edited independently of the model.",5030958,bba11f59-e653-4435-bc6d-6d97b3d7a24e-004cc42e,,,,,,,,
cb1c20bee838,revitcheck.pile_model_schedule_consistency,geometry,high,"Pile 'PIL232125': live model position is 6130413024218.21mm from the schedule's 'ABUTMENT B, B1 AND B2 PILE SCHEDULE' row (live model E/N 278234992.44/6130238654.46mm, schedule 278234992444/6130238654456mm) - beyond the 10mm tolerance. Either the pile moved after the schedule was last generated, or the schedule was edited independently of the model.",7892263,09e3266f-2a28-45e1-a978-7c7db46e100f-00786d27,,,,,,,,
3db982aa4f70,revitcheck.pile_model_schedule_consistency,geometry,high,"Pile 'PIL232124': live model position is 6130414929935.54mm from the schedule's 'ABUTMENT B, B1 AND B2 PILE SCHEDULE' row (live model E/N 278234478.75/6130240587.36mm, schedule 278234478749/6130240587360mm) - beyond the 10mm tolerance. Either the pile moved after the schedule was last generated, or the schedule was edited independently of the model.",7892289,09e3266f-2a28-45e1-a978-7c7db46e100f-00786d41,,,,,,,,
b6c619f01aa4,revitcheck.pile_model_schedule_consistency,geometry,high,"Pile 'PIL232123': live model position is 6130416835651.92mm from the schedule's 'ABUTMENT B, B1 AND B2 PILE SCHEDULE' row (live model E/N 278233965.05/6130242520.26mm, schedule 278233965054/6130242520263mm) - beyond the 10mm tolerance. Either the pile moved after the schedule was last generated, or the schedule was edited independently of the model.",7893034,09e3266f-2a28-45e1-a978-7c7db46e100f-0078702a,,,,,,,,
415193f5f753,revitcheck.pile_model_schedule_consistency,geometry,high,"Pile 'PIL232122': live model position is 6130418741369.36mm from the schedule's 'ABUTMENT B, B1 AND B2 PILE SCHEDULE' row (live model E/N 278233451.36/6130244453.17mm, schedule 278233451359/6130244453167mm) - beyond the 10mm tolerance. Either the pile moved after the schedule was last generated, or the schedule was edited independently of the model.",7893098,09e3266f-2a28-45e1-a978-7c7db46e100f-0078706a,,,,,,,,
8a0857b7ce6d,revitcheck.pile_model_schedule_consistency,geometry,high,"Pile 'PIL232121': live model position is 6130420647086.82mm from the schedule's 'ABUTMENT B, B1 AND B2 PILE SCHEDULE' row (live model E/N 278232937.66/6130246386.07mm, schedule 278232937663/6130246386071mm) - beyond the 10mm tolerance. Either the pile moved after the schedule was last generated, or the schedule was edited independently of the model.",7893180,09e3266f-2a28-45e1-a978-7c7db46e100f-007870bc,,,,,,,,
715821f05f71,revitcheck.pile_model_schedule_consistency,geometry,high,"Pile 'PIL232144': live model position is 6130374520269.85mm from the schedule's 'ABUTMENT B, B1 AND B2 PILE SCHEDULE' row (live model E/N 278246014.52/6130199572.01mm, schedule 278246014521/6130199572011mm) - beyond the 10mm tolerance. Either the pile moved after the schedule was last generated, or the schedule was edited independently of the model.",7895664,ad1f8941-990a-41b8-a509-89db40fadea2-00787a70,,,,,,,,
c05c280fc046,revitcheck.pile_model_schedule_consistency,geometry,high,"Pile 'PIL232115': live model position is 6130376968935.5mm from the schedule's 'ABUTMENT A AND A1 PILE SCHEDULE' row (live model E/N 278206198.63/6130203832.74mm, schedule 278206198631/6130203832740mm) - beyond the 10mm tolerance. Either the pile moved after the schedule was last generated, or the schedule was edited independently of the model.",7926091,3a5c1123-4f50-42b0-a363-e7ac7721240c-00788fef,,,,,,,,
4858743fa57a,revitcheck.pile_model_schedule_consistency,geometry,high,"Pile 'PIL232116': live model position is 6130375062150.76mm from the schedule's 'ABUTMENT A AND A1 PILE SCHEDULE' row (live model E/N 278206708.89/6130201898.93mm, schedule 278206708889/6130201898925mm) - beyond the 10mm tolerance. Either the pile moved after the schedule was last generated, or the schedule was edited independently of the model.",7926092,3a5c1123-4f50-42b0-a363-e7ac7721240c-0078905f,,,,,,,,
b3094301f674,revitcheck.pile_model_schedule_consistency,geometry,high,"Pile 'PIL232117': live model position is 6130373155367.03mm from the schedule's 'ABUTMENT A AND A1 PILE SCHEDULE' row (live model E/N 278207219.15/6130199965.11mm, schedule 278207219146/6130199965111mm) - beyond the 10mm tolerance. Either the pile moved after the schedule was last generated, or the schedule was edited independently of the model.",7926093,3a5c1123-4f50-42b0-a363-e7ac7721240c-0078908d,,,,,,,,
288c0b46ee22,revitcheck.pile_model_schedule_consistency,geometry,high,"Pile 'PIL232118': live model position is 6130371248583.35mm from the schedule's 'ABUTMENT A AND A1 PILE SCHEDULE' row (live model E/N 278207729.4/6130198031.3mm, schedule 278207729403/6130198031297mm) - beyond the 10mm tolerance. Either the pile moved after the schedule was last generated, or the schedule was edited independently of the model.",7926094,3a5c1123-4f50-42b0-a363-e7ac7721240c-007890b1,,,,,,,,
cba9a5055336,revitcheck.pile_model_schedule_consistency,geometry,high,"Pile 'PIL232119': live model position is 6130369341798.74mm from the schedule's 'ABUTMENT A AND A1 PILE SCHEDULE' row (live model E/N 278208239.66/6130196097.48mm, schedule 278208239660/6130196097482mm) - beyond the 10mm tolerance. Either the pile moved after the schedule was last generated, or the schedule was edited independently of the model.",7926095,3a5c1123-4f50-42b0-a363-e7ac7721240c-007890eb,,,,,,,,
d61db73ee775,revitcheck.pile_model_schedule_consistency,geometry,high,"Pile 'PIL232140': live model position is 6130381970340.87mm from the schedule's 'ABUTMENT B, B1 AND B2 PILE SCHEDULE' row (live model E/N 278243459.93/6130207153.17mm, schedule 278243459935/6130207153168mm) - beyond the 10mm tolerance. Either the pile moved after the schedule was last generated, or the schedule was edited independently of the model.",7968156,aa0f5d79-960d-43ad-89cf-c202d9354d40-0079959c,,,,,,,,
163a25fbbf3a,revitcheck.pile_model_schedule_consistency,geometry,high,"Pile 'PIL232141': live model position is 6130380106583.22mm from the schedule's 'ABUTMENT B, B1 AND B2 PILE SCHEDULE' row (live model E/N 278244095.33/6130205256.78mm, schedule 278244095331/6130205256784mm) - beyond the 10mm tolerance. Either the pile moved after the schedule was last generated, or the schedule was edited independently of the model.",7968171,aa0f5d79-960d-43ad-89cf-c202d9354d40-007995ab,,,,,,,,
d50bc4c5d192,revitcheck.pile_model_schedule_consistency,geometry,high,"Pile 'PIL232142': live model position is 6130378243408.86mm from the schedule's 'ABUTMENT B, B1 AND B2 PILE SCHEDULE' row (live model E/N 278244732.26/6130203360.92mm, schedule 278244732256/6130203360915mm) - beyond the 10mm tolerance. Either the pile moved after the schedule was last generated, or the schedule was edited independently of the model.",7968182,aa0f5d79-960d-43ad-89cf-c202d9354d40-007995b6,,,,,,,,
5927bf1ff65f,revitcheck.pile_model_schedule_consistency,geometry,high,"Pile 'PIL232143': live model position is 6130376381839.29mm from the schedule's 'ABUTMENT B, B1 AND B2 PILE SCHEDULE' row (live model E/N 278245373.39/6130201466.46mm, schedule 278245373388/6130201466463mm) - beyond the 10mm tolerance. Either the pile moved after the schedule was last generated, or the schedule was edited independently of the model.",7968191,aa0f5d79-960d-43ad-89cf-c202d9354d40-007995bf,,,,,,,,
